"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","percent/100 * biomass_total"
"50",1156461,"2003-AUG-18",154.5702,0,1,"PICE","MAR",NA,53,0.739,6170000,490000,81.922206
"51",1156461,"2003-AUG-18",154.5702,0,3,"POPU","BAL",NA,3,0.043,6170000,490000,4.637106
"52",1156461,"2016-AUG-26",129.8105,1,2,"POPU","TRE",NA,13,0.143,6170000,490000,16.875365
"53",1156461,"2016-AUG-26",129.8105,1,1,"PICE","MAR",NA,88,0.857,6170000,490000,114.23324
"54",1156501,"2003-JUL-01",370.0011,0,1,"PICE","MAR",NA,100,1,6110000,640000,370.0011
"55",1156501,"2017-JUN-12",256.5857,1,1,"PICE","MAR",NA,100,1,6110000,640000,256.5857
"56",1170231,"2003-AUG-17",106.1861,0,1,"PINU","BAN",NA,100,0.958,6110000,520000,106.1861
"57",1170231,"2003-AUG-17",106.1861,0,2,"PICE","MAR",NA,0,0.042,6110000,520000,0
"58",1170231,"2017-JUL-05",95.9873,1,1,"PINU","BAN",NA,98,0.933,6110000,520000,94.067554
"59",1170231,"2017-JUL-05",95.9873,1,2,"PICE","MAR",NA,3,0.067,6110000,520000,2.879619
"60",1177066,"2004-JUN-22",66.6013,0,3,"ALNU","CRI",NA,3,0.258,6160000,340000,1.998039
"61",1177066,"2004-JUN-22",66.6013,0,1,"POPU","TRE",NA,68,0.404,6160000,340000,45.288884
"62",1177066,"2004-JUN-22",66.6013,0,2,"BETU","PAP",NA,26,0.281,6160000,340000,17.316338
"63",1177066,"2004-JUN-22",66.6013,0,5,"SALI","SPP",NA,1,0.022,6160000,340000,0.666013
"64",1177066,"2004-JUN-22",66.6013,0,4,"PINU","BAN",NA,1,0.034,6160000,340000,0.666013
"65",1177066,"2016-AUG-14",180.1377,1,3,"PINU","BAN",NA,1,0.051,6160000,340000,1.801377
"66",1177066,"2016-AUG-14",180.1377,1,1,"POPU","TRE",NA,82,0.615,6160000,340000,147.712914
"67",1177066,"2016-AUG-14",180.1377,1,2,"BETU","PAP","PAP",17,0.333,6160000,340000,30.623409
"68",1177071,"2004-JUN-22",16.1088,0,1,"PINU","BAN",NA,85,0.905,6160000,360000,13.69248
"69",1177071,"2004-JUN-22",16.1088,0,3,"SALI","SPP",NA,3,0.024,6160000,360000,0.483264
"70",1177071,"2004-JUN-22",16.1088,0,2,"ALNU","CRI",NA,13,0.071,6160000,360000,2.094144
"71",1177071,"2015-AUG-22",31.123,1,1,"PINU","BAN",NA,95,0.864,6160000,360000,29.56685
"72",1177121,"2003-AUG-14",380.8505,0,1,"PICE","MAR",NA,95,0.979,6080000,550000,361.807975
"73",1177121,"2003-AUG-14",380.8505,0,2,"PINU","BAN",NA,5,0.021,6080000,550000,19.042525
"74",1177121,"2012-AUG-22",287.4014,1,1,"PICE","MAR",NA,94,0.971,6080000,550000,270.157316
"75",1177121,"2012-AUG-22",287.4014,1,2,"PINU","BAN",NA,6,0.029,6080000,550000,17.244084
"76",1177126,"2003-AUG-15",114.6223,0,1,"POPU","TRE",NA,100,0.983,6070000,560000,114.6223
"77",1177126,"2003-AUG-15",114.6223,0,2,"PICE","GLA",NA,0,0.017,6070000,560000,0
"78",1177126,"2017-JUL-07",187.6172,1,3,"ABIE","BAL",NA,0,0.029,6070000,560000,0
"79",1177126,"2017-JUL-07",187.6172,1,2,"PICE","GLA",NA,5,0.143,6070000,560000,9.38086
"80",1177126,"2017-JUL-07",187.6172,1,1,"POPU","TRE",NA,95,0.829,6070000,560000,178.23634
"81",1183951,"2003-AUG-30",3.0994,0,1,"PICE","MAR",NA,100,1,6140000,350000,3.0994
"82",1183951,"2016-AUG-16",4.7155,1,1,"PICE","MAR",NA,100,1,6140000,350000,4.7155
"83",1183991,"2003-AUG-13",365.6641,0,1,"PICE","MAR",NA,94,0.971,6080000,5e+05,343.724254
"84",1183991,"2017-JUN-13",320.6555,1,2,"POPU","TRE",NA,0,0.011,6080000,5e+05,0
"85",1183991,"2017-JUN-13",320.6555,1,1,"PICE","MAR",NA,100,0.989,6080000,5e+05,320.6555
"86",1190916,"2004-JUN-12",201.1438,0,1,"PICE","MAR",NA,98,0.553,5990000,660000,197.120924
"87",1190916,"2004-JUN-12",201.1438,0,2,"SALI","SPP",NA,1,0.213,5990000,660000,2.011438
"88",1190916,"2017-JUL-10",131.136,1,2,"BETU","PAP",NA,7,0.182,5990000,660000,9.17952
"89",1190916,"2017-JUL-10",131.136,1,1,"PICE","MAR",NA,93,0.818,5990000,660000,121.95648
"90",1197741,"2003-JUN-17",131.496,0,1,"LARI","LAR",NA,77,0.692,6060000,450000,101.25192
"91",1197741,"2003-JUN-17",131.496,0,2,"PICE","MAR",NA,23,0.308,6060000,450000,30.24408
"92",1197741,"2016-AUG-24",109.6385,1,2,"PICE","MAR",NA,12,0.273,6060000,450000,13.15662
"93",1197741,"2016-AUG-24",109.6385,1,1,"LARI","LAR",NA,88,0.727,6060000,450000,96.48188
"94",1197761,"2003-AUG-17",57.4707,0,1,"PICE","MAR",NA,100,0.857,6030000,520000,57.4707
"95",1197761,"2003-AUG-17",57.4707,0,2,"ABIE","BAL",NA,0,0.143,6030000,520000,0
"96",1197761,"2017-JUL-09",15.7398,1,1,"PICE","MAR",NA,96,0.8,6030000,520000,15.110208
"97",1197761,"2017-JUL-09",15.7398,1,2,"ABIE","BAL",NA,4,0.2,6030000,520000,0.629592
"98",1197766,"2003-JUL-15",120.3696,0,1,"LARI","LAR",NA,68,0.545,6020000,540000,81.851328
"99",1197766,"2003-JUL-15",120.3696,0,2,"PICE","MAR",NA,19,0.364,6020000,540000,22.870224
"100",1197766,"2003-JUL-15",120.3696,0,3,"BETU","PAP",NA,13,0.091,6020000,540000,15.648048
"101",1197766,"2012-JUL-06",133.9359,1,3,"BETU","PAP",NA,17,0.125,6020000,540000,22.769103
"102",1204606,"2003-AUG-26",11.1923,0,1,"BETU","PAP",NA,100,1,6060000,390000,11.1923
"103",1204606,"2016-AUG-11",13.8005,1,1,"BETU","PAP","PAP",100,1,6060000,390000,13.8005
"104",1211511,"2004-JUN-13",242.1754,0,2,"POPU","BAL",NA,5,0.012,6e+06,470000,12.10877
"105",1211511,"2004-JUN-13",242.1754,0,1,"PICE","MAR",NA,95,0.988,6e+06,470000,230.06663
"106",1211511,"2016-AUG-09",223.834,1,1,"PICE","MAR",NA,100,1,6e+06,470000,223.834
"107",1218376,"2003-AUG-28",88.3475,0,1,"PICE","MAR",NA,100,1,6010000,410000,88.3475
"108",1218376,"2016-AUG-10",80.3852,1,1,"PICE","MAR",NA,100,1,6010000,410000,80.3852
"109",1232216,"2003-AUG-27",1.7282,0,1,"BETU","PAP",NA,100,1,5850000,690000,1.7282
